Product_Name,Material,Category,Region,Size(cm),Weight(g),Description_Keywords,Price(INR),Image_URL
Woolen Shawl,Leather,Festive Item,Karnataka,10x21x55,3918,"hand-painted, eco-friendly, lacquered",5086,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Brass Idol,Cane,Stationery,Maharashtra,69x47x26,4106,"boho style, embroidery, handcrafted",14590,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Marble Coaster Set,Organic Cotton,Decor,Delhi,91x25x39,461,"unique design, lacquered, vibrant",10935,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Brass Puja Thali,Marble,Clothing,Delhi,34x35x51,3158,"heritage craft, vibrant, classic finish",8075,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Copper Bottle,Palm Leaf,Footwear,Assam,90x88x11,1644,"boho style, tribal, handcrafted",11844,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Cane Chair Miniature,Wool,Kids Toy,Delhi,78x80x53,936,"durable, artisan made, sustainable",10126,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Jute Table Mat,Organic Cotton,Furniture Miniature,Tamil Nadu,30x12x13,229,"handcrafted, eco-friendly, minimal design",4486,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Banarasi Silk Saree,Wood,Decor,Kerala,48x17x8,2750,"artisan made, classic finish, eco-friendly",11625,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Kantha Stitch Saree,Handmade Paper,Decor,Tamil Nadu,29x20x24,3715,"unique design, boho style, hand-painted",3542,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Dhokra Figurine,Silk,Clothing,Madhya Pradesh,47x81x48,3317,"vibrant, artisan made, tribal",1234,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Macrame Wall Hanging,Stone,Clothing,Kerala,43x80x40,1738,"durable, artisan made, traditional",12676,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Kalamkari Saree,Handmade Paper,Wall Art,Punjab,77x45x23,2624,"natural dyes, boho style, lacquered",13694,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Phulkari Dupatta,Cane,Accessories,Gujarat,18x19x14,4039,"sustainable, eco-friendly, durable",14645,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Jute Handbag,Wool,Footwear,Uttar Pradesh,43x46x25,3264,"cultural, premium, boho style",11199,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Hand-painted Kettle,Wood,Clothing,Kerala,73x47x9,1466,"unique design, vibrant, cultural",1714,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Hand-painted Kettle,Stone,Spiritual Item,Gujarat,69x87x22,257,"embroidery, sustainable, heritage craft",9976,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Brass Puja Thali,Bamboo,Clothing,Bihar,27x88x10,3766,"unique design, lacquered, tribal",12457,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Terracotta Jewellery,Palm Leaf,Kids Toy,West Bengal,11x47x23,928,"woven, durable, traditional",14680,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Bamboo Pen Stand,Clay,Clothing,Delhi,60x12x41,3670,"unique design, embroidery, cultural",9996,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Rattan Lamp,Handmade Paper,Furniture Miniature,Delhi,48x93x44,2757,"embroidery, woven, natural dyes",7746,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Copper Bottle,Cotton,Clothing,Madhya Pradesh,82x63x40,1439,"eco-friendly, traditional, embroidery",3711,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Kantha Stitch Saree,Pashmina Wool,Stationery,Bihar,80x34x57,1949,"traditional, durable, natural dyes",739,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Banarasi Silk Saree,Leather,Wall Art,Kashmir,97x11x40,885,"handcrafted, minimal design, woven",13707,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Terracotta Pot,Copper,Furniture Miniature,Tamil Nadu,22x13x37,746,"lacquered, boho style, hand-painted",191,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Macrame Wall Hanging,Copper,Kitchenware,Delhi,65x21x8,3637,"natural dyes, durable, tribal",10775,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Brass Idol,Marble,Accessories,Assam,29x52x57,1371,"heritage craft, hand-painted, vibrant",8037,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Marble Coaster Set,Pashmina Wool,Footwear,Karnataka,89x23x35,737,"eco-friendly, minimal design, lacquered",1972,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Bamboo Basket,Quartz,Jewellery,Bihar,94x16x14,2949,"hand-painted, artisan made, traditional",5043,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Bamboo Basket,Wool,Festive Item,Gujarat,13x87x8,3680,"classic finish, cultural, woven",12045,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Palm Leaf Box,Clay,Festive Item,Madhya Pradesh,26x35x57,4201,"vibrant, traditional, hand-painted",11430,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Hand-painted Kettle,Organic Cotton,Stationery,West Bengal,10x71x19,4625,"vibrant, eco-friendly, woven",2719,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Phulkari Dupatta,Cane,Spiritual Item,Kerala,96x38x47,3923,"minimal design, tribal, lacquered",8950,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Bandhani Dupatta,Leather,Decor,Madhya Pradesh,69x59x53,2334,"woven, sustainable, vibrant",12054,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Lippan Art Frame,Cane,Spiritual Item,Maharashtra,93x90x55,1512,"boho style, classic finish, lacquered",8384,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Wooden Keychain,Canvas,Decor,Bihar,70x81x15,3098,"eco-friendly, cultural, boho style",327,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Palm Leaf Box,Palm Leaf,Footwear,Gujarat,30x59x8,373,"minimal design, vibrant, tribal",6558,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Woolen Shawl,Wood,Accessories,Gujarat,97x94x41,1649,"unique design, heritage craft, natural dyes",9286,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Kantha Stitch Saree,Pashmina Wool,Kids Toy,West Bengal,74x76x32,4464,"handcrafted, boho style, cultural",4936,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Warli Art Canvas,Paper Mache,Stationery,Kerala,25x31x14,1530,"eco-friendly, natural dyes, traditional",13546,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Warli+Art+Canvas
Woolen Shawl,Cane,Spiritual Item,Haryana,30x88x51,1795,"woven, tribal, vibrant",4485,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Terracotta Pot,Stone,Stationery,Assam,62x28x5,2630,"tribal, hand-painted, eco-friendly",13433,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Bamboo Pen Stand,Palm Leaf,Footwear,Madhya Pradesh,11x89x30,2917,"unique design, minimal design, artisan made",10764,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Stone Carved Ganesha,Clay,Jewellery,Madhya Pradesh,43x60x50,4082,"artisan made, traditional, hand-painted",13005,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Bandhani Dupatta,Paper Mache,Kids Toy,Madhya Pradesh,94x36x47,289,"hand-painted, embroidery, unique design",5439,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Banarasi Silk Saree,Wool,Festive Item,West Bengal,74x20x60,1335,"embroidery, eco-friendly, lacquered",10964,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Kalamkari Saree,Stone,Clothing,Assam,43x69x40,449,"tribal, eco-friendly, sustainable",4923,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Handmade Diary,Cane,Furniture Miniature,Odisha,73x79x9,4844,"cultural, eco-friendly, natural dyes",5303,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Stone Carved Ganesha,Cane,Accessories,Punjab,26x70x41,4709,"artisan made, classic finish, sustainable",6021,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Lippan Art Frame,Cotton,Furniture Miniature,Odisha,84x50x8,3952,"hand-painted, lacquered, eco-friendly",14698,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Kolhapuri Chappal,Clay,Spiritual Item,Punjab,97x13x46,431,"cultural, tribal, artisan made",1886,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Macrame Wall Hanging,Canvas,Festive Item,Madhya Pradesh,73x84x13,3148,"classic finish, minimal design, eco-friendly",12768,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Brass Idol,Marble,Decor,Rajasthan,58x16x50,1166,"unique design, sustainable, heritage craft",4296,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Terracotta Pot,Brass,Kids Toy,Gujarat,89x79x26,2766,"artisan made, handcrafted, boho style",12975,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Madhubani Painting,Organic Cotton,Jewellery,Tamil Nadu,49x49x15,1541,"durable, traditional, natural dyes",7120,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Woolen Shawl,Handmade Paper,Spiritual Item,Punjab,28x64x54,777,"sustainable, tribal, woven",3993,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Jute Handbag,Copper,Kitchenware,Bihar,63x50x39,2067,"vibrant, sustainable, heritage craft",4059,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Banarasi Silk Saree,Handmade Paper,Kitchenware,Karnataka,44x16x31,2281,"premium, handcrafted, natural dyes",7708,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Warli Art Canvas,Handmade Paper,Wall Art,Punjab,75x56x19,503,"embroidery, classic finish, natural dyes",5192,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Warli+Art+Canvas
Marble Coaster Set,Wool,Stationery,Gujarat,54x32x57,1071,"vibrant, sustainable, traditional",14410,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Copper Bottle,Palm Leaf,Jewellery,Odisha,86x58x18,4996,"eco-friendly, woven, tribal",506,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Handloom Scarf,Copper,Decor,Tamil Nadu,54x84x38,4115,"traditional, woven, artisan made",6260,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Wooden Spice Box,Handmade Paper,Kids Toy,Gujarat,15x96x15,2452,"vibrant, minimal design, natural dyes",4349,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Woolen Muffler,Marble,Footwear,Chhattisgarh,30x88x6,4266,"traditional, artisan made, handcrafted",6364,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Banarasi Silk Saree,Quartz,Bags,Delhi,31x38x29,2243,"handcrafted, lacquered, woven",6078,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Copper Mug,Leather,Furniture Miniature,West Bengal,69x57x17,2319,"hand-painted, durable, premium",14873,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Phulkari Dupatta,Cotton,Clothing,Uttar Pradesh,85x72x38,3877,"unique design, tribal, woven",2108,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Handmade Diary,Wood,Wall Art,Assam,30x15x14,3877,"premium, cultural, durable",3418,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Wooden Spice Box,Stone,Kitchenware,Assam,81x100x55,347,"tribal, durable, cultural",8664,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Block Print Bedsheet,Cotton Rope,Festive Item,Maharashtra,12x92x60,4865,"artisan made, handcrafted, traditional",719,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Bandhani Dupatta,Copper,Spiritual Item,Maharashtra,75x73x54,2011,"woven, unique design, artisan made",6450,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Stone Carved Ganesha,Cotton Rope,Stationery,Odisha,85x24x35,2279,"handcrafted, embroidery, hand-painted",10941,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Blue Pottery Plate,Quartz,Stationery,Punjab,46x15x45,305,"tribal, premium, handcrafted",14545,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Rattan Lamp,Organic Cotton,Spiritual Item,Maharashtra,50x53x31,3666,"unique design, durable, cultural",1962,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Block Print Bedsheet,Pashmina Wool,Bags,Kerala,60x24x22,4493,"heritage craft, traditional, artisan made",4682,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Blue Pottery Plate,Brass,Spiritual Item,Punjab,36x35x33,1310,"minimal design, premium, vibrant",5597,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Palm Leaf Box,Wood,Kitchenware,Madhya Pradesh,47x54x39,685,"minimal design, boho style, traditional",2949,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Channapatna Toy,Cotton Rope,Home Decor,Kashmir,40x88x34,2359,"natural dyes, cultural, durable",6793,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Palm Leaf Box,Cane,Kitchenware,Rajasthan,90x40x35,3443,"sustainable, minimal design, unique design",14478,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Sheesham Wood Bowl,Marble,Kids Toy,Bihar,89x68x45,4207,"natural dyes, vibrant, heritage craft",4794,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Sheesham+Wood+Bowl
Bamboo Pen Stand,Pashmina Wool,Jewellery,Delhi,86x41x19,621,"embroidery, natural dyes, artisan made",6953,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Pashmina Shawl,Palm Leaf,Clothing,Goa,28x58x35,2149,"eco-friendly, sustainable, tribal",6091,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Dhokra Figurine,Wool,Footwear,Uttar Pradesh,57x59x37,4281,"traditional, eco-friendly, natural dyes",11920,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Warli Art Canvas,Cotton Rope,Accessories,Odisha,88x16x32,3440,"tribal, heritage craft, boho style",13850,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Warli+Art+Canvas
Tribal Art Mask,Cotton Rope,Footwear,Chhattisgarh,40x20x34,1354,"traditional, hand-painted, eco-friendly",14076,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Blue Pottery Plate,Silk,Spiritual Item,Kerala,73x42x53,4111,"traditional, minimal design, artisan made",5297,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Copper Bottle,Leather,Furniture Miniature,Madhya Pradesh,83x100x13,512,"lacquered, minimal design, natural dyes",6040,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Tribal Art Mask,Pashmina Wool,Furniture Miniature,Uttar Pradesh,61x26x47,4351,"embroidery, eco-friendly, hand-painted",140,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Phulkari Dupatta,Copper,Festive Item,Chhattisgarh,12x44x38,3486,"lacquered, unique design, handcrafted",6728,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Handwoven Carpet,Clay,Jewellery,Kerala,97x18x51,4073,"heritage craft, minimal design, natural dyes",11222,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Bamboo Pen Stand,Organic Cotton,Home Decor,Maharashtra,68x92x15,4299,"durable, cultural, natural dyes",12152,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Dhokra Figurine,Paper Mache,Stationery,Maharashtra,46x40x56,3996,"natural dyes, handcrafted, sustainable",10195,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Tribal Art Mask,Copper,Home Decor,Punjab,37x86x27,2914,"eco-friendly, traditional, sustainable",1425,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Pashmina Shawl,Wood,Home Decor,Rajasthan,14x45x7,1992,"traditional, handcrafted, artisan made",8953,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Bandhani Dupatta,Organic Cotton,Spiritual Item,Uttar Pradesh,36x56x55,3695,"traditional, unique design, embroidery",12923,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Jute Table Mat,Handmade Paper,Decor,Gujarat,95x89x57,1396,"traditional, unique design, heritage craft",14633,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Warli Art Canvas,Quartz,Clothing,Maharashtra,71x91x59,1916,"lacquered, classic finish, cultural",5382,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Warli+Art+Canvas
Handloom Kurta,Handmade Paper,Kids Toy,Bihar,92x77x10,4543,"natural dyes, durable, unique design",13457,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Handloom Kurta,Brass,Jewellery,Odisha,31x57x22,650,"traditional, artisan made, premium",12321,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Cane Chair Miniature,Paper Mache,Jewellery,Rajasthan,28x40x13,1473,"embroidery, vibrant, traditional",5628,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Rattan Lamp,Organic Cotton,Footwear,Punjab,61x90x20,4632,"artisan made, handcrafted, unique design",9744,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Stone Carved Ganesha,Bamboo,Spiritual Item,Goa,59x32x22,3317,"handcrafted, boho style, artisan made",9233,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Marble Coaster Set,Organic Cotton,Decor,Haryana,51x57x31,1590,"cultural, lacquered, unique design",5431,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Rattan Lamp,Marble,Kids Toy,Maharashtra,24x17x5,4900,"vibrant, natural dyes, handcrafted",6617,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Clay Diya Set,Paper Mache,Bags,Odisha,53x29x26,3647,"hand-painted, handcrafted, artisan made",9786,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Copper Mug,Handmade Paper,Footwear,Karnataka,13x46x17,2247,"hand-painted, sustainable, heritage craft",10210,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Bamboo Basket,Paper Mache,Kids Toy,Assam,76x41x21,4383,"eco-friendly, boho style, artisan made",8459,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Handwoven Carpet,Stone,Home Decor,Bihar,85x97x34,998,"sustainable, heritage craft, eco-friendly",5664,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Marble Coaster Set,Canvas,Jewellery,West Bengal,98x23x43,564,"handcrafted, premium, cultural",11553,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Wood Carved Elephant,Marble,Festive Item,Tamil Nadu,31x50x57,4159,"classic finish, woven, hand-painted",3404,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Block Print Bedsheet,Wood,Decor,Uttar Pradesh,19x87x47,1457,"woven, minimal design, artisan made",13562,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Dhokra Figurine,Paper Mache,Furniture Miniature,Odisha,14x68x5,1399,"durable, handcrafted, sustainable",7637,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Hand-painted Kettle,Leather,Accessories,West Bengal,90x94x45,970,"traditional, natural dyes, unique design",1572,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Handwoven Carpet,Wool,Clothing,Odisha,10x55x24,1834,"artisan made, unique design, premium",13140,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Handloom Scarf,Paper Mache,Bags,Goa,64x83x17,2889,"handcrafted, minimal design, hand-painted",7144,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Bamboo Pen Stand,Canvas,Kids Toy,Gujarat,13x90x10,592,"traditional, tribal, natural dyes",10851,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Pashmina Shawl,Paper Mache,Wall Art,Goa,17x84x50,3041,"woven, natural dyes, sustainable",6536,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Madhubani Painting,Bamboo,Stationery,Assam,60x20x22,1713,"handcrafted, woven, traditional",6835,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Madhubani Painting,Jute,Spiritual Item,Maharashtra,85x32x59,4850,"eco-friendly, unique design, cultural",4421,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Handwoven Basket,Wood,Festive Item,Kashmir,71x79x40,2754,"artisan made, woven, lacquered",7116,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Bamboo Pen Stand,Quartz,Spiritual Item,Rajasthan,98x13x23,463,"boho style, premium, handcrafted",8383,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Terracotta Planter,Quartz,Jewellery,Maharashtra,53x93x44,717,"boho style, unique design, artisan made",13640,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Channapatna Toy,Bamboo,Jewellery,Kerala,22x47x41,1771,"natural dyes, premium, tribal",10447,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Block Print Bedsheet,Organic Cotton,Accessories,Gujarat,57x75x8,1779,"vibrant, premium, woven",4068,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Copper Bottle,Canvas,Kitchenware,Delhi,17x81x21,4649,"embroidery, premium, artisan made",9280,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Handwoven Carpet,Wood,Accessories,Assam,83x95x37,3165,"artisan made, traditional, unique design",10883,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Kalamkari Saree,Cotton Rope,Festive Item,Chhattisgarh,76x80x35,4483,"natural dyes, traditional, lacquered",1353,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Bamboo Pen Stand,Marble,Stationery,Bihar,58x78x28,3715,"lacquered, embroidery, minimal design",6759,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Pashmina Shawl,Organic Cotton,Wall Art,Maharashtra,23x33x32,1016,"classic finish, durable, handcrafted",11351,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Clay Water Bottle,Jute,Furniture Miniature,Odisha,40x73x46,4623,"sustainable, tribal, handcrafted",12351,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Water+Bottle
Terracotta Pot,Copper,Bags,Karnataka,73x38x13,1995,"handcrafted, eco-friendly, durable",7127,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Lippan Art Frame,Cotton,Festive Item,Madhya Pradesh,66x59x22,2882,"lacquered, natural dyes, premium",9139,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Madhubani Painting,Leather,Festive Item,Delhi,91x88x54,4398,"artisan made, cultural, handcrafted",2316,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Channapatna Toy,Cotton,Decor,Punjab,26x80x52,2251,"embroidery, premium, tribal",6519,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Zari Work Blouse,Clay,Kids Toy,West Bengal,42x12x40,2214,"boho style, handcrafted, sustainable",12627,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Channapatna Toy,Cane,Home Decor,Punjab,91x49x49,4503,"minimal design, sustainable, handcrafted",7230,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Dhokra Figurine,Leather,Footwear,Kerala,83x19x28,2557,"handcrafted, eco-friendly, artisan made",7273,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Handwoven Carpet,Organic Cotton,Spiritual Item,Punjab,55x51x29,1480,"classic finish, handcrafted, durable",8518,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Terracotta Jewellery,Pashmina Wool,Kitchenware,Karnataka,49x73x13,3861,"woven, premium, minimal design",9334,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Copper Mug,Marble,Kids Toy,Karnataka,43x42x52,3888,"traditional, eco-friendly, hand-painted",2108,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Clay Diya Set,Marble,Stationery,Maharashtra,61x25x39,1474,"embroidery, woven, hand-painted",13037,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Copper Bottle,Copper,Footwear,Karnataka,77x74x56,384,"woven, vibrant, durable",14565,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Clay Diya Set,Cane,Wall Art,Delhi,69x35x11,375,"hand-painted, unique design, traditional",335,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Brass Idol,Quartz,Bags,Punjab,66x52x8,4409,"handcrafted, lacquered, vibrant",3959,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Tribal Art Mask,Palm Leaf,Wall Art,Rajasthan,78x88x16,2417,"hand-painted, artisan made, durable",4236,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Pashmina Shawl,Organic Cotton,Wall Art,Chhattisgarh,100x82x55,4664,"tribal, minimal design, durable",13591,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Handmade Diary,Canvas,Home Decor,West Bengal,99x24x52,1397,"classic finish, hand-painted, handcrafted",1370,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Handwoven Carpet,Clay,Festive Item,Kashmir,87x94x38,4722,"tribal, heritage craft, artisan made",280,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
